SearchQueryText,user,action
rout number,user45@company.com,search
routnumber*,user145@company.com,search
rout #,user46@company.com,search
rout#*,user146@company.com,search
Routing number,user47@company.com,search
Routingnumber*,user147@company.com,search
routing #,user48@company.com,search
routing#*,user148@company.com,search
Savings Account #,user49@company.com,search
SavingsAccount#*,user149@company.com,search
Savings Account #,user50@company.com,search
SavingsAccount#*,user150@company.com,search
Savings Account num,user51@company.com,search
SavingsAccountnum*,user151@company.com,search
Savings account number,user52@company.com,search
Savingsaccountnumber*,user152@company.com,search
Social security,user53@company.com,search
Socialsecurity*,user153@company.com,search
social security,user54@company.com,search
socialsecurity*,user154@company.com,search
social security number,user55@company.com,search
socialsecuritynumber*,user155@company.com,search
Social Security Number,user56@company.com,search
SocialSecurityNumber*,user156@company.com,search
Social Security #,user57@company.com,search
SocialSecurity#*,user157@company.com,search
social security #,user58@company.com,search
socialsecurity#*,user158@company.com,search
SSID,user59@company.com,search
SSID*,user159@company.com,search
SSN,user60@company.com,search
ssn,user61@company.com,search
SSN#,user62@company.com,search
SSN#*,user162@company.com,search
SSNS,user63@company.com,search
SSNS*,user163@company.com,search
project plan,benign1@company.com,search
meeting notes,benign2@company.com,search
vacation schedule,benign3@company.com,search
holiday calendar,benign4@company.com,search
team roster,benign5@company.com,search
marketing strategy,benign6@company.com,search
product roadmap,benign7@company.com,search
SSN list,user1@company.com,search
salary report,user2@company.com,search
quarterly financials,user3@company.com,search
social security number,user4@company.com,search
bank account numbers,user5@company.com,search
KyRi*,user6@company.com,search
credit card info,user7@company.com,search
personal data,user8@company.com,search
vacation schedule,user9@company.com,search
project plan,user10@company.com,search
meeting notes,user11@company.com,search
SSN lookup,user12@company.com,search
ky*,user13@company.com,search
employee phone numbers,user14@company.com,search
drivers license,user15@company.com,search
tax forms,user16@company.com,search
bank routing numbers,user17@company.com,search
HR contacts,user18@company.com,search
holiday calendar,user19@company.com,search
client contracts,user20@company.com,search
passport scans,user21@company.com,search
customer addresses,user22@company.com,search
health records,user23@company.com,search
credit card statements,user24@company.com,search
401k contributions,user25@company.com,search
expense receipts,user26@company.com,search
product roadmap,user27@company.com,search
marketing strategy,user28@company.com,search
compensation package,user29@company.com,search
social sec*,user30@company.com,search
driver lic*,user31@company.com,search
payroll data,user32@company.com,search
bonus payouts,user33@company.com,search
insurance policies,user34@company.com,search
employee handbook,user35@company.com,search
engineering diagrams,user36@company.com,search
sales leads,user37@company.com,search
customer PII,user38@company.com,search
address list,user39@company.com,search
phone directory,user40@company.com,search
kyri data,user41@company.com,search
payment details,user42@company.com,search
wire transfer info,user43@company.com,search
internal audit,user44@company.com,search
project kickoff,user45@company.com,search
lunch menu,user46@company.com,search
employee SSN,user47@company.com,search
client SSNs,user48@company.com,search
confidential report,user49@company.com,search
source code,user50@company.com,search
ky results,user51@company.com,search
account numbers,user52@company.com,search
iban list,user53@company.com,search
swift codes,user54@company.com,search
shareholder data,user55@company.com,search
equity grants,user56@company.com,search
product specs,user57@company.com,search
release notes,user58@company.com,search
customer invoices,user59@company.com,search
conf call notes,user60@company.com,search
credit report,user61@company.com,search
ssn*,user62@company.com,search
ky* data,user63@company.com,search
kyri financials,user64@company.com,search
driver license copies,user65@company.com,search
passport number,user66@company.com,search
confidential payroll,user67@company.com,search
vendor contracts,user68@company.com,search
performance reviews,user69@company.com,search
holiday party list,user70@company.com,search
vacation requests,user71@company.com,search
kyri docs,user72@company.com,search
account credentials,user73@company.com,search
PII records,user74@company.com,search
contact information,user75@company.com,search
banking details,user76@company.com,search
loan applications,user77@company.com,search
benefits enrollment,user78@company.com,search
compliance checklist,user79@company.com,search
marketing leads,user80@company.com,search
salary spreadsheet,user81@company.com,search
compensation spreadsheet,user82@company.com,search
employee SSNs,user83@company.com,search
kyri data exfil,user84@company.com,search
bank account list,user85@company.com,search
debit card info,user86@company.com,search
credit card list,user87@company.com,search
social sec records,user88@company.com,search
insurance claims,user89@company.com,search
team roster,user90@company.com,search
conference agenda,user91@company.com,search
work anniversary list,user92@company.com,search
ky report,user93@company.com,search
financial forecast,user94@company.com,search
personal identifiers,user95@company.com,search
employee addresses,user96@company.com,search
pay stubs,user97@company.com,search
internal salaries,user98@company.com,search
customer credit info,user99@company.com,search
meeting minutes,user100@company.com,search
